learning_rate,weight_decay,dropout_prob,epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1e-05,0.01,0.1,1,1.1378775604951292,0.445237374756237,1.141746625304222,0.58
1e-05,0.01,0.1,2,0.24255633585962,0.9102279604599556,1.816250205039978,0.628
1e-05,0.01,0.1,3,0.051928795989654414,0.9814487929527268,2.1599484980106354,0.636
1e-05,0.01,0.1,4,0.022681906078772043,0.9923256674063614,2.4348124861717224,0.614
1e-05,0.01,0.1,5,0.013317794515941906,0.9956626992132338,2.4317498207092285,0.626
1e-05,0.01,0.3,1,0.009718634319802223,0.9968226750050434,2.526158630847931,0.628
1e-05,0.01,0.3,2,0.0067072876300247825,0.9979238114450945,2.687090277671814,0.626
1e-05,0.01,0.3,3,0.005292599055226522,0.9984281487458813,2.73949271440506,0.624
1e-05,0.01,0.3,4,0.004772033783124369,0.9986719117745948,2.570020854473114,0.648
1e-05,0.01,0.3,5,0.0037713895627240718,0.9988316185865107,2.7220922708511353,0.642
1e-05,0.05,0.1,1,0.003054887813609284,0.9990753816152242,2.997681200504303,0.64
1e-05,0.05,0.1,2,0.0030509115979562205,0.9990249478851456,2.8315176963806152,0.612
1e-05,0.05,0.1,3,0.002416613259785929,0.9993023334005783,2.8432080149650574,0.626
1e-05,0.05,0.1,4,0.0022111364359392225,0.9992687109138592,3.029819667339325,0.622
1e-05,0.05,0.1,5,0.0020225529300229436,0.9994620402124941,2.926275908946991,0.634
1e-05,0.05,0.3,1,0.0020883618343661226,0.9993863896173761,2.923141300678253,0.636
1e-05,0.05,0.3,2,0.0018951816815131572,0.9994116064824154,3.0252793431282043,0.65
1e-05,0.05,0.3,3,0.0021482501248394708,0.9993947952390558,2.9223713278770447,0.638
1e-05,0.05,0.3,4,0.0013580512275150449,0.9995545020509717,2.8564082980155945,0.61
1e-05,0.05,0.3,5,0.001205093139777123,0.99962174702441,3.0272316932678223,0.63
3e-05,0.01,0.1,1,0.006440026720896278,0.9982684419339655,2.6325698494911194,0.612
3e-05,0.01,0.1,2,0.005681489392221696,0.9983440925290834,2.7944602370262146,0.598
3e-05,0.01,0.1,3,0.004345903791527097,0.9987223455046735,2.8678842782974243,0.624
3e-05,0.01,0.1,4,0.0026881731529039814,0.9993191446439379,3.0668246746063232,0.618
3e-05,0.01,0.1,5,0.0037176627683444025,0.9989829197767467,2.700241506099701,0.622
